"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"166","The activation code was sent to you by e-mail.<br /> Please follow the instructions in the e-mail.","15:./templates2/ocstyle/register.tpl","Der Aktivierungscode wurde per E-Mail versendet.<br />Für den Abschluss der Registrierung folge bitte den weiteren Anweisungen in der E-Mail.","Le code d'activation vous a été envoyé par e-mail.<br />Veuillez s'il vous plaît suivre les instructions de l'e-mail.","De activeringscode werd per e-mail verzonden.<br />Volg de aanwijzingen in deze e-mail.","The activation code was sent to you by e-mail.<br /> Please follow the instructions in the e-mail.","","The activation code was sent to you by e-mail.<br /> Please follow the instructions in the e-mail.","На ваш адрес выслано письмо с кодом активации. Пожалуйста, следуйте инструкциям в письме."
"168","An account with that e-mail address already exists. It is not possible to create a second account with the same e-mail address.","53:./templates2/ocstyle/newemail.tpl","Es ist bereits ein Account mit dieser E-Mail-Adresse vorhanden. Es ist nicht möglich, einen zweiten Account auf diese E-Mail-Adresse zu registrieren.","Il existe déjà un compte avec cette adresse e-mail. Il n'est pas possible d'enregistrer un deuxième compte avec la même adresse e-mail.","Er bestaat al een account met dit e-mailadres. Het is niet mogelijk om een tweede account met hetzelfde e-mailadres te maken.","An account with that e-mail address already exists. It is not possible to create a second account with the same e-mail address.","","An account with that e-mail address already exists. It is not possible to create a second account with the same e-mail address.",""
"172","Yemen","0:table:countries;field=name","Jemen","Yémen","Jemen","Yemen","","Yemen","Йемен"
"173","Samoa","0:table:countries;field=name","Samoa","Samoa","Samoa","Samoa","","Samoa","Самоа"
"174","Go","222:./lang/de/ocstyle/main.tpl.php","Los","Aller","Ga","Go","","Go",""
"175","Developer system – testing only","186:./templates2/ocstyle/sys_main.tpl","Entwicklersystem - nur Testdaten","Développeur système - tests uniquement","Ontwikkelaar systeem – alleen testen","Developer system – testing only","","Developer system – testing only",""
"179","Wallis And Futuna Islands","0:table:countries;field=name","Wallis und Futuna","Wallis-et-Futuna","Wallis en Futuna","Wallis And Futuna Islands","","Wallis And Futuna Islands","Уоллис и Футуна"
"180","Create a news entry","","Neuen Newseintrag erstellen","Créer une nouvelle entrée","Nieuws toevoegen","Create a news entry","","Create a news entry","Опубликовать новость"
"181","Vanuatu","0:table:countries;field=name","Vanuatu","Vanuatu","Vanuatu","Vanuatu","","Vanuatu","Вануату"
"182","Viet Nam","0:table:countries;field=name","Vietnam","Viet Nam","Vietnam","Viet Nam","","Viet Nam","Вьетнам"
"183","Virgin Islands (U.S.)","0:table:countries;field=name","Amerikanische Jungferninseln","Virgin Islands (U.S.)","Amerikaanse Maagdeneilanden","Virgin Islands (U.S.)","","Virgin Islands (U.S.)","Американские Виргинские острова"
"184","Virgin Islands (British)","0:table:countries;field=name","Britische Jungferninseln","Virgin Islands (British)","Britse Maagdeneilanden","Virgin Islands (British)","","Virgin Islands (British)","Британские Виргинские острова"
"185","Venezuela","0:table:countries;field=name","Venezuela","Venezuela","Venezuela","Venezuela","","Venezuela","Венесуэла"
"186","Select target language:","8:./templates2/ocstyle/translate.tpl","Zu übersetzende Sprache auswählen:","Select target language:","Selecteer gewenste taal:","Select target language:","","Select target language:",""
"187","Show new translations","40:./templates2/ocstyle/translate.tpl","Neue Übersetzungen anzeigen","Show new translations","Laat nieuwe vertalingen zien","Show new translations","","Show new translations",""
"188","Clear smarty cache","45:./templates2/ocstyle/translate.tpl","Smarty-Cache löschen","Clear smarty cache","Smarty-Cache wissen","Clear smarty cache","","Clear smarty cache",""
"189","Not defined","75:./templates2/ocstyle/myprofile.tpl","keine Angabe","Not defined","Niet aangegeven","Not defined","","Not defined",""
"190","Show translations no longer referenced","42:./templates2/ocstyle/translate.tpl","Übersetzung ohne Referenz anzeigen","Show translations no longer referenced","Toon vertalingen zonder referentie","Show translations no longer referenced","","Show translations no longer referenced",""
"191","Show all translations","41:./templates2/ocstyle/translate.tpl","Alle Übersetzungen anzeigen","Show all translations","Toon alle vertalingen","Show all translations","","Show all translations",""
"192","Saint Vincent And The Grenadines","0:table:countries;field=name","St. Vincent und die Grenadinen","Saint Vincent And The Grenadines","Saint Vincent en de Grenadines","Saint Vincent And The Grenadines","","Saint Vincent And The Grenadines","Сент-Винсент и Гренадины"
"193","Vatican City State (Holy See)","0:table:countries;field=name","Vatikan (Heiliger Stuhl)","Vatican City State (Holy See)","Vaticaanstad","Vatican City State (Holy See)","","Vatican City State (Holy See)","Ватикан"
"194","Uzbekistan","0:table:countries;field=name","Usbekistan","Uzbekistan","Oezbekistan","Uzbekistan","","Uzbekistan","Узбекистан"
"195","Use existing translations:","123:./templates2/ocstyle/translate.tpl","Vorhandene Übersetzungen verwenden:","Use existing translations:","Gebruik bestaande vertalingen:","Use existing translations:","","Use existing translations:",""
"196","All translations:","73:./templates2/ocstyle/translate.tpl","Alle Übersetzung:","All translations:","Alle vertalingen:","All translations:","","All translations:",""
"197","New translations:","63:./templates2/ocstyle/translate.tpl","Neue Übersetzungen:","New translations:","Nieuwe vertalingen:","New translations:","","New translations:",""
"198","Translations no longer referenced:","65:./templates2/ocstyle/translate.tpl","Übersetzung ohne Referenz:","Translations no longer referenced:","Vertalingen zonder referentie:","Translations no longer referenced:","","Translations no longer referenced:",""
"199","Languages:","14:./templates2/ocstyle/translate.tpl","Sprachen:","Languages:","Talen:","Languages:","Języki:","Languages:","Языки:"
"201","Uruguay","0:table:countries;field=name","Uruguay","Uruguay","Uruguay","Uruguay","","Uruguay","Уругвай"
"202","Activation code:","42:./templates2/ocstyle/activation.tpl","Aktivierungscode:","Activation code:","Activatiecode:","Activation code:","","Activation code:","Код активации:"
"203","United States","0:table:countries;field=name","Vereinigte Staaten","United States","Verenigde staten","United States","","United States","США"
"204","United States Minor Outlying Islands","0:table:countries;field=name","Amerikanisch-Ozeanien","United States Minor Outlying Islands","Kleine afgelegen eilanden van de Verenigde Staten","United States Minor Outlying Islands","","United States Minor Outlying Islands","Внешние малые острова США"
"206","total:","15:./templates2/ocstyle/event_attendance.tpl","insgesamt:","total:","totaal:","total:","","total:",""
"207","Login","35:./lang/de/ocstyle/lib/menu.php","Anmelden","Login","Inloggen","Login","Login","Login","Вход"
"208","Password","","Passwort","Mot de passe","Wachtwoord","Contraseña","Hasło","Password","Пароль"
"209","Uganda","0:table:countries;field=name","Uganda","Uganda","Oeganda","Uganda","","Uganda","Уганда"
"210","Ukraine","0:table:countries;field=name","Ukraine","Ukraine","Oekraïne","Ukraine","","Ukraine","Украина"
"211","Tanzania, United Republic Of","0:table:countries;field=name","Tansania","Tanzania, United Republic Of","Tanzania","Tanzania, United Republic Of","","Tanzania, United Republic Of","Танзания"
"212","Taiwan, Province Of China","0:table:countries;field=name","Taiwan","Taiwan, Province Of China","Taiwan","Taiwan, Province Of China","","Taiwan, Province Of China","Тайвань"
"213","Tuvalu","0:table:countries;field=name","Tuvalu","Tuvalu","Tuvalu","Tuvalu","","Tuvalu","Тувалу"
"214","Trinidad And Tobago","0:table:countries;field=name","Trinidad und Tobago","Trinidad And Tobago","Trinidad en Tobago","Trinidad And Tobago","","Trinidad And Tobago","Тринидад и Тобаго"
"215","Turkey","0:table:countries;field=name","Türkei","Turkey","Turkije","Turkey","","Turkey","Турция"
"216","Not registered?","60:./lang/de/ocstyle/login.tpl.php","Noch nicht registriert?","Not registered?","Nog niet geregistreerd?","Not registered?","Chcesz się zarejestrować?","Not registered?","Не зарегистрированы?"
"217","Forgot your password?","61:./lang/de/ocstyle/login.tpl.php","Passwort vergessen?","Forgot your password?","Wachtwoord vergeten?","Forgot your password?","Zapomniałeś swoje hasło?","Forgot your password?","Забыли пароль?"
"218","Forgot your e-mail address?","62:./lang/de/ocstyle/login.tpl.php","E-Mail-Adresse vergessen?","Forgot your e-mail address?","E-mailadres vergeten?","Forgot your e-mail address?","Zapomniałeś swój E-mail?","Forgot your e-mail address?","Забыли адрес электронной почты?"
"219","For more troubleshooting hints, see","65:./lang/de/ocstyle/login.tpl.php","Weitere Hilfestellungen findest du im","For more troubleshooting hints, see","Voor meer oplossingen, zie","For more troubleshooting hints, see","Czy masz:","For more troubleshooting hints, see",""
"221","Enter a new password","61:./lang/de/ocstyle/login.tpl.php","Neues Passwort eingeben","Enter a new password","Voer een nieuw wachtwoord in","Enter a new password","Nowe hasło","Enter a new password",""
"222","Send a reminder","62:./lang/de/ocstyle/login.tpl.php","Erinnerung schicken","Send a reminder","Herinnering sturen","Send a reminder","Przypomnij mi","Send a reminder",""
"223","Tonga","0:table:countries;field=name","Tonga","Tonga","Tonga","Tonga","","Tonga","Тонга"
"224","Please fill in username and password!","30:./templates2/ocstyle/login.tpl","Bitte die Felder Benutzername und Passwort ausfüllen!","Please fill in username and password!","Alstublieft Gebruikersnaam en Wachtwoord invullen!","Please fill in username and password!","","Please fill in username and password!","Укажите ваши имя пользователя и пароль."
"225","Logout was successful.","32:./templates2/ocstyle/login.tpl","Logout war erfolgreich.","Logout was successful.","Succesvol uitgelogd.","Logout was successful.","Wylogowanie z sukcesem.","Logout was successful.",""
"226","Login failed","21:./templates2/ocstyle/login.tpl","Der Login war nicht erfolgreich","Login failed","Inloggen mislukt","Login failed","","Login failed",""
"227","The entered username or password did not match.","22:./templates2/ocstyle/login.tpl","Der eingegebene Benutzername oder das Passwort war ungültig.","The entered username or password did not match.","De opgegeven gebruikersnaam of het wachtwoord komen niet overeen.","The entered username or password did not match.","","The entered username or password did not match.",""
"228","Your tried to login more than %1 times within the last hour. The next login will not be allowed before one hour since the first try has passed.","25:./templates2/ocstyle/login.tpl","Du hast versucht, dich in der letzten Stunde %1 mal einzuloggen. Weitere Loginversuche sind erst wieder möglich, wenn eine Stunde seit dem ersten Login vergangen ist.","Your tried to login more than %1 times within the last hour. The next login will not be allowed before one hour since the first try has passed.","In het laatste uur is er meer dan %1 keer proberen in te loggen. De volgende poging kan pas na een uur vanaf de eerste poging gedaan worden.","Your tried to login more than %1 times within the last hour. The next login will not be allowed before one hour since the first try has passed.","","Your tried to login more than %1 times within the last hour. The next login will not be allowed before one hour since the first try has passed.",""
"229","Your account is not acivated.","27:./templates2/ocstyle/login.tpl","Dein Account wurde noch nicht aktiviert oder wieder deaktiviert.","Your account is not acivated.","Jouw account is niet geactiveerd.","Your account is not acivated.","Twoje konto nie jest aktywowane","Your account is not acivated.",""
